latitude,longitude
33.734,-117.996
30.022,-95.268
33.379,-86.811
40.404,-79.92
40.776,-73.052
45.536,-122.935
36.069,-115.037
46.617,-112.006
40.42,-74.173
37.617,-122.088
37.667,-122.103
33.899,-118.373
33.919,-118.343
21.284,-157.71
38.428,-78.855
40.313,-76.8
36.326,-119.607
42.418,-83.433
40.877,-74.041
39.643,-106.889
33.949,-84.143
34.836,-82.313
36.058,-79.884
42.504,-83.759
37.244,-121.785
42.913,-85.545
44.271,-88.488
43.311,-87.925
34.428,-119.873
42.107,-87.822
33.644,-112.231
39.197,-76.597
37.009,-121.554
33.375,-111.842
47.359,-122.601
33.774,-117.941
29.733,-95.439
39.157,-77.213
33.863,-117.924
33.171,-96.839
36.809,-119.874
37.502,-121.971
38.295,-77.517
39.402,-77.411
33.704,-117.935
37.561,-122.275
39.916,-86.225
32.676,-97.405
41.125,-85.156
34.967,-85.193
26.546,-81.875
34.139,-117.444
38.646,-121.111
38.988,-84.647
40.522,-74.853
47.239,-122.375
47.287,-122.314
35.896,-84.141
38.217,-122.144
38.851,-77.373
64.852,-147.708
47.905,-122.207
42.402,-71.07
37.989,-87.464
40.792,-124.182
44.09,-123.068
26.489,-81.786
41.994,-72.576
38.409,-121.41
31.782,-106.411
32.812,-115.57
37.665,-122.449
40.529,-74.377
44.862,-93.43
33.986,-117.558
40.052,-82.909
40.669,-89.584
42.752,-84.448
40.812,-74.38
44.857,-93.129
45.622,-122.473
33.045,-96.7
28.597,-81.301
41.359,-72.213
30.252,-81.536
38.893,-104.718
18.385,-66.139
36.028,-78.914
32.621,-96.911
46.823,-92.173
39.561,-104.879
39.709,-105.016
39.297,-84.302
42.231,-71.175
26.097,-80.251
41.575,-90.524
37.782,-121.975
42.557,-70.979
32.919,-96.768
33.92,-84.761
32.871,-96.763
29.978,-95.711
33.803,-118.039
34.212,-84.116
33.881,-84.472
33.991,-118.446
40.692,-80.11
47.355,-122.121
33.89,-117.521
41.698,-91.615
26.288,-80.283
45.199,-93.35
39.883,-75.53
37.959,-122.035
42.535,-83.445
33.995,-118.143
40.807,-73.287
40.148,-82.978
34.068,-81.139
39.187,-76.795
44.506,-73.177
47.708,-116.782
36.806,-119.701
40.831,-74.136
27.96,-82.728
46.423,-117.044
45.428,-122.575
33.995,-117.921
38.692,-121.297
32.609,-117.081
39.675,-75.649
34.014,-117.745
39.723,-121.81
41.863,-87.666
37.511,-77.607
39.924,-75.041
38.067,-78.489
35.162,-80.885
32.795,-80.037
38.898,-77.445
33.295,-111.899
40.141,-88.245
42.374,-122.887
39.661,-84.109
36.278,-115.209
30.528,-97.817
33.67,-112.029
39.914,-86.062
39.116,-119.776
18.402,-65.996
32.988,-117.076
33.122,-117.317
38.598,-121.452
18.247,-66.024
44.749,-93.293
48.454,-122.338
34.184,-118.323
34.201,-118.38
29.788,-95.53
40.197,-75.081
40.655,-74.007
33.872,-84.335
41.443,-73.405
40.564,-74.556
40.056,-74.155
35.963,-86.819
38.669,-76.876
27.923,-82.332
27.496,-82.471
45.713,-111.071
40.89,-111.893
41.263,-81.513
47.166,-122.158
41.726,-88.033
43.585,-116.274
26.412,-80.102
41.94,-88.13
42.605,-83.294
46.865,-100.771
45.755,-108.569
44.055,-121.27
39.033,-76.91
48.791,-122.515
44.458,-87.989
41.76,-87.742
40.673,-74.105
46.349,-94.249
30.42,-91.073
35.383,-119.047
34.134,-117.926
33.465,-112.275
41.458,-82.016
42.135,-71.068
39.765,-86.364
30.396,-97.746
39.69,-104.866
47.776,-122.344
33.524,-82.02
42.707,-83.296
39.791,-105.081
39.155,-76.73
32.685,-97.114
35.747,-78.827
38.01,-121.833
61.145,-149.885
28.662,-81.415
34.091,-84.277
45.508,-122.841
37.254,-121.876
40.567,-75.558
34.088,-118.148
35.137,-106.616
44.639,-123.065
