Ticker,Date,Open,High,Low,Close,Adj Close,Volume
COST,2017-10-10,155.669998,157.360001,155.080002,156.869995,146.271271,5420200
COST,2017-10-11,157.300003,158.960007,157.059998,157.869995,147.203735,3859300
COST,2017-10-12,157.869995,157.990005,156.360001,157.220001,146.597656,3596300
COST,2017-10-13,157.419998,160.080002,157.089996,159.850006,149.049957,3634500
COST,2017-10-16,159.380005,159.800003,158.320007,158.809998,148.080215,2453700
COST,2017-10-17,159,159.270004,157.570007,158.380005,147.679276,2426800
COST,2017-10-18,158.839996,158.839996,157.309998,157.550003,146.90538,3011300
COST,2017-10-19,157.139999,158.759995,157,158.460007,147.753876,2981700
COST,2017-10-20,158.970001,161.009995,158.509995,160.770004,149.907791,3993200
COST,2017-10-23,160.850006,162.389999,160.580002,162.039993,151.09201,2811200
COST,2017-10-24,161.160004,162.889999,161,162.289993,151.325073,3040700
COST,2017-10-25,161,163,160.580002,162.179993,151.222534,3603900
COST,2017-10-26,162.460007,163.550003,160.789993,162.460007,151.483597,3038900
COST,2017-10-27,160.800003,162.679993,160.699997,162.380005,151.409012,3399900
COST,2017-10-30,161.990005,162,159.470001,160.229996,149.404282,2550700
COST,2017-10-31,159.839996,161.270004,159.720001,161.080002,150.196854,2513600
COST,2017-11-01,161.970001,163.289993,161.289993,162.690002,151.698074,2129400
COST,2017-11-02,163.729996,165.550003,162.610001,164.949997,153.805374,3255700
COST,2017-11-03,164.160004,167.070007,163.779999,166.440002,155.194687,3112500
COST,2017-11-06,165.800003,166.589996,164.979996,165.050003,153.898605,1917300
COST,2017-11-07,165.199997,166.5,164.600006,166.279999,155.045532,1944200
COST,2017-11-08,166.630005,169.190002,166.020004,169.050003,157.628372,3494300
COST,2017-11-09,167.479996,169.309998,167.050003,169.110001,157.684296,2094000
COST,2017-11-10,168.440002,171.380005,168.080002,171.360001,159.782318,2673100
COST,2017-11-13,171,173.089996,170.649994,171.460007,159.875504,4093300
COST,2017-11-14,170.820007,171.830002,169.770004,171.440002,159.856903,1774300
COST,2017-11-15,169.300003,170.729996,167.059998,169,157.581757,2439900
COST,2017-11-16,170.229996,171.339996,169.160004,170.979996,159.901062,2342700
COST,2017-11-17,171,172.199997,170.649994,170.979996,159.901062,2100600
COST,2017-11-20,171.110001,172.529999,170.850006,172.279999,161.116837,1955000
COST,2017-11-21,172.960007,174.190002,172.550003,173.419998,162.182938,2360200
COST,2017-11-22,173.839996,174,171.100006,172.479996,161.303848,1950100
COST,2017-11-24,172.380005,173.160004,171.5,171.619995,160.499542,789400
